"Rank","Name","Industry","HQ Location","Sites","Employees","World Wide Revenue","Latitude","Longitude"
"40","The Goldman Sachs Group, Inc.","Financial Services & Insurance","New York, N.Y.","33","-","$36,616,000,000","40.7078","-74.0337"
"39","Adecco Group brands","Professional Services","Jacksonville, Fla.","848","-","-","40.752990","-73.985050"
"38","Live Nation Entertainment","Entertainment","Beverly Hills, Calif.","218","11,277","$10,787,800,000","40.723930","-73.996513"
"37","Zillow","Information Technology","Seattle, Wash.","23","5,150","$1,300,000,000","42.721930","-73.701210"
"36","Blackstone","Financial Services & Insurance","New York, N.Y.","8","-","-","40.705690","-74.010310"
"35","Voya Financial","Financial Services & Insurance","New York, N.Y.","10","5,835","$8,514,000,000","40.7127281","-74.0060152"
"34","Horizon Media","Advertising & Marketing","New York, N.Y.","2","1,908","-","40.723664","-74.0063695"
"33","Ernst & Young LLP","Professional Services","New York, N.Y.","86","260,569","$34,800,000,000","40.7454587","-73.980239"
"32","Protiviti","Professional Services","Menlo Park, Calif.","34","3,520","$957,716,000","40.7674078","-73.9786606"
"31","Accenture","Professional Services","New York, N.Y.","-","477,000","$39,573,450,000","40.7254116","-74.0046937"
"30","PricewaterhouseCoopers LLP","Professional Services","New York, N.Y.","86","250,000","$41,300,000,000","40.7528179","-73.9799233"
"29","Dechert LLP","Professional Services","Philadelphia, Pa.","14","1,966","$1,021,751,932","40.7546279","-73.9845292"
"28","Mastercard Incorporated","Financial Services & Insurance","Purchase, N.Y.","9","14,800","$14,950,000,000","40.7378046","-73.9925297"
"27","KPMG LLP","Professional Services","New York, N.Y.","110","207,000","$28,960,000,000","40.7581203","-73.972851"
"26","Baker Tilly Virchow Krause, LLP","Professional Services","Chicago, Ill.","59","3,558","$630,000,000","40.7515073","-73.9926272"
"25","Comcast NBCUniversal","Telecommunications","Philadelphia, Pa.","-","184,000","$94,507,000,000","40.7590531","-73.9799876"
"24","Atlassian","Information Technology","San Francisco, Calif.","-","-","$1,210,126,855","40.7325184","-73.9912731"
"23","Citizens Bank","Financial Services & Insurance","Providence, R.I.","1,182","-","$1.60E+11","40.7576183","-73.9755331"
"22","Capital One Financial Corporation","Financial Services & Insurance","McLean, Va.","691","47,500","$28,100,000,000","40.7346072","-73.9910115"
"21","Deloitte","Professional Services","New York, N.Y.","103","109,778","$43,200,000,000","40.759287","-73.979808"
"20","Adobe","Information Technology","San Jose, Calif.","20","21,163","$9,030,000,000","40.758032","-73.984832"
"19","Cumberland Farms, Inc.","Retail","Westborough, Mass.","575","-","$3,700,000,000","40.723206","-73.679358"
"18","Alston & Bird LLP","Professional Services","Atlanta, Ga.","9","1,610","$816,473,083","40.750799","-73.9789457"
"17","DHL Express U.S.","Transportation","Plantation, Fla.","119","102,540","$18,197,669,000","40.6107112","-73.9765652"
"16","Workiva Inc.","Information Technology","Ames, Iowa","11","1,393","$244,344,000","40.7427391","-73.9945858"
"15","Dropbox","Information Technology","San Francisco, Calif.","6","-","$1,391,700,000","40.7420624","-73.9918122"
"14","Cooley LLP","Professional Services","Palo Alto, Calif.","10","2,311","$1,226,149,000","40.7548374","-73.9827653"
"13","Bain & Company","Professional Services","Boston, Mass.","12","10,131","-","40.7548374","-73.9827653"
"12","American Express","Financial Services & Insurance","New York, N.Y.","-","-","$40,338,000","40.71369","-74.013753"
"11","Orrick","Professional Services","San Francisco, Calif.","14","2,400","$1,046,000,000","40.7612541","-73.9787812"
"10","Shawmut Design and Construction","Construction","Boston, Mass.","9","-","$1,440,600,000","40.7608987","-73.9745124"
"9","Noom, Inc.","Information Technology","New York, N.Y.","1","1,323","$61,000,000","40.7480246","-73.9947822"
"8","The Cheesecake Factory Incorporated","Hospitality","Calabasas Hills, Calif.","221","38,009","$2,332,331,000","40.7345964","-73.8700116"
"7","Concord Hospitality Enterprises Company","Hospitality","Raleigh, N.C.","104","5,251","$41,577,989","40.7057586","-74.0051334"
"6","Box, Inc.","Information Technology","Redwood City, Calif.","4","2,053","$608,400,000","40.7429095","-73.9846081"
"5","West Monroe Partners","Professional Services","Chicago, Ill.","9","850","-","40.762015","-73.986427"
"4","Wegmans Food Markets, Inc.","Retail","Rochester, N.Y.","130","-","$9,217,331,000","40.6988858","-73.978777"
"3","Power Home Remodeling","Construction","Chester, Pa.","18","-","$695,000,000","40.7760157","-73.4238953"
"2","Hulu","Media","Santa Monica, Calif.","7","2,261","-","40.7370616","-73.9926284"
"1","Salesforce","Information Technology","San Francisco, Calif.","59","40,152","$13,280,000,000","40.7546279","-73.9845292"